Artist,Title,Count

Adele,Set Fire to the Rain,1
Maria Marçal,Deixa,1
Cristian Castro,Por Amarte Así,1
Mert Demir,Ateşe Düştüm,1
Marília Mendonça & Maiara & Maraísa,Coração Bandido,1
Grupo Firme & Gerardo Coronel,Qué Onda Perdida,1
Luis Fonsi,Despacito,1
KAROL G,200 COPAS,1
Gian & Giovani,O Grande Amor da Minha Vida (Convite de Casamento),1
Carin Leon,Primera Cita,1
"Pineapple StormTV, Mc Cabelinho, Bob do Contra, Azzy, Filipe Ret, Dudu, Xamã, Orochi, Maquiny & Salve Malak",Poesia Acústica #6: Era uma Vez,1
Belanova,Rosa Pastel,1
Grupo Frontera & Grupo Firme,EL AMOR DE SU VIDA,1
Shaggy,It Wasn't Me (feat. Ricardo Ducent),1
Pablo Alboran,Saturno,1
Ali Kınık,Zemheri,1
Racionais Mc's,"Vida Loka, Pt. 1",1
Zé Neto & Cristiano,Me Bloqueia (Ao Vivo),1
Becky G,Mayores,1
Chelo Music,I Dont Want To Talk About It - Live at Royal Albert Hall (Live),1